Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What does clause (d) of Article 286 state?,"of clause 29 A of Article 366, be subject to such restrictions and conditions in regard to the system of levy, rates and other incidents of the tax as Parliament may by law specify",286,clause_specific,intermediate,"directive_principles, federal_structure",,(d),
Explain clause (d) of Article 286.,"Clause (d) of Article 286 explains: of clause 29 A of Article 366, be subject to such restrictions and conditions in regard to the system of levy, rates and other incidents of the tax as Parliament may by law specify",286,clause_explanation,advanced,"directive_principles, federal_structure",,(d),
Which article deals with directive principles in the Indian Constitution?,Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods) deals with directive principles.,286,theme_based,intermediate,"directive_principles, federal_structure",,,directive_principles
Which article deals with federal structure in the Indian Constitution?,Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods) deals with federal structure.,286,theme_based,intermediate,"directive_principles, federal_structure",,,federal_structure
What does the Constitution say about goods?,"According to Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods), 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or.....",286,keyword_search,intermediate,"directive_principles, federal_structure",goods,,
What does the Constitution say about sale?,"According to Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods), 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or.....",286,keyword_search,intermediate,"directive_principles, federal_structure",sale,,
What does the Constitution say about purchase?,"According to Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods), 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or.....",286,keyword_search,intermediate,"directive_principles, federal_structure",purchase,,
What does the Constitution say about clause?,"According to Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods), 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or.....",286,keyword_search,intermediate,"directive_principles, federal_structure",clause,,
What does the Constitution say about imposition?,"According to Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods), 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or.....",286,keyword_search,intermediate,"directive_principles, federal_structure",imposition,,
What is Article 287 of the Indian Constitution?,"Article 287 is titled 'Exemption from taxes on electricity Save in so far as Parliament may by law otherwise provide, no law of a State shall impose, or authorise the imposition of, a tax on the consumption or sale of electricity'. 287. Exemption from taxes on electricity Save in so far as Parliamen...",287,overview,basic,federal_structure,,,
